trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.5, 'e': 0.025991128778755333}",35,24,19.443021090782118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.024723526470339388}",20,2,34.36593774696666,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.023517745856009107}",25,7,29.516128133041526,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.02237077185616559}",25,13,26.583091227069872,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.02127973643837717}",20,9,16.15590432781456,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.02024191144580438}",35,12,38.56449517597995,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.01925470177538692}",20,12,12.304565501998304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,8,21.999562291701178,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.017422374639493515}",25,14,-20.372399325986397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.016572675401761237}",25,15,20.043714151356586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.015764416484854486}",25,3,34.47741796956677,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.014995576820477703}",20,3,29.592617146488283,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.014264233908999256}",30,7,44.91346265529569,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.013568559012200934}",20,13,13.633448781741134,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.012906812580479862}",20,11,17.001632092060163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.012277339903068436}",25,20,8.752541281529155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
